[-t, /Users/jiangjunhao/Desktop/MLC-master/code/temp/BayesianClassifierChain_ESKDB/tmc2007/train.arff, -T, /Users/jiangjunhao/Desktop/MLC-master/code/temp/BayesianClassifierChain_ESKDB/tmc2007/test.arff, -K, 2, -S, SKDB_R, -I, 10, -L, 2, -E, 2]
Dataset : train
data size 	14305
Attribute size 	1503
class size 	2

Started learning
The 0th SKDB classifier has been built and smoothed
The 1th SKDB classifier has been built and smoothed

Started testing
testID:	Prob(0)	Prob(1)	Prediction	TrueClass
test example 669:	 0.994	 0.006	0	0
test example 670:	 0.99 	 0.01 	0	0
test example 671:	 0.984	 0.016	0	0
test example 672:	 0.855	 0.145	0	0
test example 673:	 0.991	 0.009	0	0
test example 674:	 1    	 0    	0	0
test example 675:	 0.978	 0.022	0	0
test example 676:	 0.426	 0.574	1	0
test example 677:	 0.412	 0.588	1	0
test example 678:	 0.859	 0.141	0	0
test example 679:	 0.982	 0.018	0	0
test example 680:	 0.999	 0.001	0	0
test example 681:	 0.983	 0.017	0	0
test example 682:	 0.995	 0.005	0	0
test example 683:	 0.974	 0.026	0	1
test example 684:	 0.978	 0.022	0	0
test example 685:	 0.919	 0.081	0	0
test example 686:	 0.998	 0.002	0	0
test example 687:	 0.992	 0.008	0	0
test example 688:	 0.993	 0.007	0	0
test example 689:	 0.996	 0.004	0	0
test example 690:	 0.966	 0.034	0	0
test example 691:	 0.133	 0.867	1	1
test example 692:	 0.993	 0.007	0	0
test example 693:	 0.197	 0.803	1	1
test example 694:	 0.999	 0.001	0	0
test example 695:	 0.959	 0.041	0	0
test example 696:	 0.979	 0.021	0	0
test example 697:	 0.891	 0.109	0	0
test example 698:	 0.832	 0.168	0	0
test example 699:	 0.997	 0.003	0	0
test example 700:	 0.908	 0.092	0	0
test example 701:	 0.981	 0.019	0	0
test example 702:	 0.986	 0.014	0	0
test example 703:	 1    	 0    	0	0
test example 704:	 0.991	 0.009	0	0
test example 705:	 0.929	 0.071	0	0
test example 706:	 0.997	 0.003	0	0
test example 707:	 0.993	 0.007	0	0
test example 708:	 0.753	 0.247	0	0
test example 709:	 0.996	 0.004	0	0
test example 710:	 0.986	 0.014	0	0
test example 711:	 0.996	 0.004	0	0
test example 712:	 0.985	 0.015	0	0
test example 713:	 0.991	 0.009	0	0
test example 714:	 0.997	 0.003	0	0
test example 715:	 0.999	 0.001	0	0
test example 716:	 0.997	 0.003	0	0
test example 717:	 0.993	 0.007	0	0
test example 718:	 0.999	 0.001	0	0
test example 719:	 0.916	 0.084	0	0
test example 720:	 0.991	 0.009	0	0
test example 721:	 0.908	 0.092	0	0
test example 722:	 0.693	 0.307	0	0
test example 723:	 0.997	 0.003	0	0
test example 724:	 0.995	 0.005	0	0
test example 725:	 0.908	 0.092	0	0
test example 726:	 0.838	 0.162	0	0
test example 727:	 0.999	 0.001	0	0
test example 728:	 0.993	 0.007	0	0
test example 729:	 0.599	 0.401	0	0
test example 730:	 0.977	 0.023	0	0
test example 731:	 0.998	 0.002	0	0
test example 732:	 0.993	 0.007	0	0
test example 733:	 0.998	 0.002	0	0
test example 734:	 0.991	 0.009	0	0
test example 735:	 0.972	 0.028	0	1
test example 736:	 0.584	 0.416	0	0
test example 737:	 0.991	 0.009	0	0
test example 738:	 0.784	 0.216	0	0
test example 739:	 0.995	 0.005	0	0
test example 740:	 0.99 	 0.01 	0	0
test example 741:	 1    	 0    	0	0
test example 742:	 0.996	 0.004	0	0
test example 743:	 0.991	 0.009	0	1
test example 744:	 0.991	 0.009	0	0
test example 745:	 0.996	 0.004	0	0
test example 746:	 0.927	 0.073	0	0
test example 747:	 0.273	 0.727	1	0
test example 748:	 0.984	 0.016	0	0
test example 749:	 0.992	 0.008	0	0
test example 750:	 0.991	 0.009	0	0
test example 751:	 0.99 	 0.01 	0	0
test example 752:	 0.997	 0.003	0	0
test example 753:	 0.995	 0.005	0	0
test example 754:	 0.911	 0.089	0	0
test example 755:	 0.913	 0.087	0	0
test example 756:	 0.282	 0.718	1	1
test example 757:	 0.984	 0.016	0	0
test example 758:	 0.993	 0.007	0	0
test example 759:	 0.866	 0.134	0	0
test example 760:	 0.991	 0.009	0	0
test example 761:	 0.997	 0.003	0	0
test example 762:	 0.987	 0.013	0	0
test example 763:	 0.992	 0.008	0	0
test example 764:	 0.891	 0.109	0	0
test example 765:	 0.978	 0.022	0	0
test example 766:	 0.981	 0.019	0	0
test example 767:	 0.753	 0.247	0	1
test example 768:	 0.995	 0.005	0	0
test example 769:	 0.865	 0.135	0	0
test example 770:	 0.914	 0.086	0	0
test example 771:	 0.989	 0.011	0	0
test example 772:	 0.617	 0.383	0	0
test example 773:	 0.99 	 0.01 	0	0
test example 774:	 0.942	 0.058	0	0
test example 775:	 0.983	 0.017	0	0
test example 776:	 0.979	 0.021	0	0
test example 777:	 0.99 	 0.01 	0	0
test example 778:	 0.996	 0.004	0	0
test example 779:	 0.99 	 0.01 	0	0
test example 780:	 0.985	 0.015	0	0
test example 781:	 0.98 	 0.02 	0	0
test example 782:	 0.986	 0.014	0	1
test example 783:	 0.97 	 0.03 	0	0
test example 784:	 0.994	 0.006	0	0
test example 785:	 0.989	 0.011	0	0
test example 786:	 0.975	 0.025	0	0
test example 787:	 0.403	 0.597	1	0
test example 788:	 0.984	 0.016	0	0
test example 789:	 0.987	 0.013	0	0
test example 790:	 0.993	 0.007	0	0
test example 791:	 0.708	 0.292	0	0
test example 792:	 0.678	 0.322	0	0
test example 793:	 0.97 	 0.03 	0	0
test example 794:	 0.321	 0.679	1	0
test example 795:	 0.993	 0.007	0	0
test example 796:	 0.993	 0.007	0	0
test example 797:	 0.994	 0.006	0	0
test example 798:	 0.993	 0.007	0	0
test example 799:	 0.999	 0.001	0	0
test example 800:	 0.983	 0.017	0	0
test example 801:	 0.993	 0.007	0	0
test example 802:	 0.993	 0.007	0	0
test example 803:	 0.976	 0.024	0	0
test example 804:	 0.874	 0.126	0	0
test example 805:	 0.788	 0.212	0	0
test example 806:	 0.989	 0.011	0	0
test example 807:	 0.781	 0.219	0	0
test example 808:	 0.888	 0.112	0	0
test example 809:	 0.998	 0.002	0	0
test example 810:	 0.975	 0.025	0	0
test example 811:	 0.964	 0.036	0	0
test example 812:	 0.991	 0.009	0	0
test example 813:	 0.993	 0.007	0	0
test example 814:	 0.994	 0.006	0	0
test example 815:	 0.989	 0.011	0	0
test example 816:	 0.908	 0.092	0	0
test example 817:	 0.987	 0.013	0	0
test example 818:	 0.997	 0.003	0	0
test example 819:	 0.991	 0.009	0	0
test example 820:	 0.918	 0.082	0	0
test example 821:	 0.72 	 0.28 	0	0
test example 822:	 0.792	 0.208	0	1
test example 823:	 0.958	 0.042	0	1
test example 824:	 0.993	 0.007	0	0
test example 825:	 0.956	 0.044	0	0
test example 826:	 0.261	 0.739	1	1
test example 827:	 0.85 	 0.15 	0	1
test example 828:	 0.981	 0.019	0	0
test example 829:	 0.947	 0.053	0	0
test example 830:	 1    	 0    	0	0
test example 831:	 0.99 	 0.01 	0	0
test example 832:	 0.999	 0.001	0	0
test example 833:	 0.24 	 0.76 	1	1
test example 834:	 0.996	 0.004	0	0
test example 835:	 0.995	 0.005	0	0
test example 836:	 0.992	 0.008	0	0
test example 837:	 0.992	 0.008	0	0
test example 838:	 0.997	 0.003	0	0
test example 839:	 0.922	 0.078	0	0
test example 840:	 0.988	 0.012	0	0
test example 841:	 0.999	 0.001	0	0
test example 842:	 0.999	 0.001	0	0
test example 843:	 0.994	 0.006	0	0
test example 844:	 0.87 	 0.13 	0	0
test example 845:	 0.383	 0.617	1	1
test example 846:	 0.997	 0.003	0	0
test example 847:	 0.991	 0.009	0	0
test example 848:	 0.828	 0.172	0	0
test example 849:	 0.996	 0.004	0	0
test example 850:	 0.991	 0.009	0	0
test example 851:	 0.928	 0.072	0	0
test example 852:	 0.999	 0.001	0	0
test example 853:	 0.998	 0.002	0	0
test example 854:	 0.914	 0.086	0	0
test example 855:	 0.997	 0.003	0	0
test example 856:	 0.998	 0.002	0	0
test example 857:	 0.985	 0.015	0	0
test example 858:	 0.987	 0.013	0	0
test example 859:	 0.995	 0.005	0	0
test example 860:	 0.928	 0.072	0	0
test example 861:	 0.991	 0.009	0	0
test example 862:	 0.827	 0.173	0	0
test example 863:	 0.984	 0.016	0	0
test example 864:	 0.403	 0.597	1	0
test example 865:	 0.994	 0.006	0	0
test example 866:	 0.997	 0.003	0	0
test example 867:	 0.998	 0.002	0	0
test example 868:	 0.995	 0.005	0	0
test example 869:	 0.994	 0.006	0	0
test example 870:	 0.989	 0.011	0	0
test example 871:	 0.99 	 0.01 	0	0
test example 872:	 0.619	 0.381	0	0
test example 873:	 0.997	 0.003	0	0
test example 874:	 0.996	 0.004	0	0
test example 875:	 0.328	 0.672	1	0
test example 876:	 0.953	 0.047	0	0
test example 877:	 0.988	 0.012	0	0
test example 878:	 0.976	 0.024	0	0
test example 879:	 0.977	 0.023	0	0
test example 880:	 0.996	 0.004	0	0
test example 881:	 0.995	 0.005	0	0
test example 882:	 0.753	 0.247	0	0
test example 883:	 1    	 0    	0	0
test example 884:	 0.983	 0.017	0	0
test example 885:	 0.995	 0.005	0	0
test example 886:	 0.956	 0.044	0	0
test example 887:	 0.998	 0.002	0	0
test example 888:	 0.986	 0.014	0	0
test example 889:	 0.993	 0.007	0	0
test example 890:	 0.858	 0.142	0	0
test example 891:	 0.698	 0.302	0	0
test example 892:	 0.989	 0.011	0	0
test example 893:	 0.993	 0.007	0	0
test example 894:	 0.904	 0.096	0	0
test example 895:	 0.987	 0.013	0	0
test example 896:	 0.997	 0.003	0	0
test example 897:	 0.997	 0.003	0	0
test example 898:	 0.994	 0.006	0	0
test example 899:	 0.996	 0.004	0	0
test example 900:	 0.164	 0.836	1	0
test example 901:	 0.94 	 0.06 	0	0
test example 902:	 0.969	 0.031	0	0
test example 903:	 0.991	 0.009	0	0
test example 904:	 0.939	 0.061	0	0
test example 905:	 0.994	 0.006	0	0
test example 906:	 0.48 	 0.52 	1	0
test example 907:	 0.998	 0.002	0	0
test example 908:	 0.261	 0.739	1	0
test example 909:	 0.509	 0.491	0	0
test example 910:	 0.989	 0.011	0	0
test example 911:	 0.986	 0.014	0	0
test example 912:	 0.906	 0.094	0	0
test example 913:	 0.994	 0.006	0	0
test example 914:	 0.974	 0.026	0	0
test example 915:	 0.215	 0.785	1	0
test example 916:	 0.471	 0.529	1	0
test example 917:	 0.993	 0.007	0	0
test example 918:	 0.707	 0.293	0	0
test example 919:	 0.968	 0.032	0	0
test example 920:	 0.704	 0.296	0	0
test example 921:	 0.969	 0.031	0	0
test example 922:	 0.993	 0.007	0	0
test example 923:	 0.993	 0.007	0	0
test example 924:	 0.991	 0.009	0	0
test example 925:	 0.988	 0.012	0	0
test example 926:	 0.869	 0.131	0	0
test example 927:	 0.971	 0.029	0	0
test example 928:	 0.988	 0.012	0	0
test example 929:	 0.993	 0.007	0	0
test example 930:	 0.871	 0.129	0	0
test example 931:	 0.951	 0.049	0	0
test example 932:	 0.998	 0.002	0	0
test example 933:	 0.919	 0.081	0	0
test example 934:	 0.433	 0.567	1	0
test example 935:	 0.671	 0.329	0	0
test example 936:	 0.99 	 0.01 	0	0
test example 937:	 0.991	 0.009	0	0
test example 938:	 0.875	 0.125	0	1
test example 939:	 0.968	 0.032	0	1
test example 940:	 0.938	 0.062	0	1
test example 941:	 0.95 	 0.05 	0	1
test example 942:	 0.971	 0.029	0	0
test example 943:	 0.938	 0.062	0	0
test example 944:	 0.996	 0.004	0	0
test example 945:	 0.921	 0.079	0	0
test example 946:	 0.994	 0.006	0	0
test example 947:	 0.993	 0.007	0	0
test example 948:	 0.995	 0.005	0	0
test example 949:	 0.248	 0.752	1	1
test example 950:	 0.997	 0.003	0	0
test example 951:	 0.998	 0.002	0	0
test example 952:	 0.993	 0.007	0	0
test example 953:	 0.99 	 0.01 	0	0
test example 954:	 0.986	 0.014	0	0
test example 955:	 0.984	 0.016	0	0
test example 956:	 0.993	 0.007	0	0
test example 957:	 0.993	 0.007	0	0
test example 958:	 0.952	 0.048	0	0
test example 959:	 0.991	 0.009	0	0
test example 960:	 0.664	 0.336	0	1
test example 961:	 0.993	 0.007	0	0
test example 962:	 0.612	 0.388	0	0
test example 963:	 0.998	 0.002	0	0
test example 964:	 0.999	 0.001	0	0
test example 965:	 0.974	 0.026	0	0
test example 966:	 0.978	 0.022	0	0
test example 967:	 0.995	 0.005	0	0
test example 968:	 0.993	 0.007	0	0
test example 969:	 0.994	 0.006	0	0
test example 970:	 0.549	 0.451	0	0
test example 971:	 0.968	 0.032	0	0
test example 972:	 0.98 	 0.02 	0	1
test example 973:	 0.969	 0.031	0	0
test example 974:	 0.999	 0.001	0	0
test example 975:	 0.946	 0.054	0	0
test example 976:	 0.856	 0.144	0	0
test example 977:	 0.991	 0.009	0	0
test example 978:	 0.652	 0.348	0	0
test example 979:	 0.992	 0.008	0	0
test example 980:	 0.986	 0.014	0	0
test example 981:	 0.994	 0.006	0	0
test example 982:	 0.991	 0.009	0	0
test example 983:	 0.968	 0.032	0	0
test example 984:	 0.993	 0.007	0	0
test example 985:	 0.922	 0.078	0	0
test example 986:	 0.985	 0.015	0	1
test example 987:	 0.643	 0.357	0	0
test example 988:	 0.002	 0.998	1	1
test example 989:	 0.997	 0.003	0	0
test example 990:	 0.999	 0.001	0	0
test example 991:	 0.93 	 0.07 	0	0
test example 992:	 0.997	 0.003	0	0
test example 993:	 0.993	 0.007	0	0
test example 994:	 0.999	 0.001	0	0
test example 995:	 0.983	 0.017	0	0
test example 996:	 0.997	 0.003	0	0
test example 997:	 0.989	 0.011	0	0
test example 998:	 0.987	 0.013	0	0
test example 999:	 0.999	 0.001	0	0
test example 1000:	 0.999	 0.001	0	0
test example 1001:	 0.775	 0.225	0	0
test example 1002:	 0.986	 0.014	0	0
test example 1003:	 0.545	 0.455	0	0
test example 1004:	 0.985	 0.015	0	0
test example 1005:	 0.861	 0.139	0	0
test example 1006:	 0.958	 0.042	0	0
test example 1007:	 0.996	 0.004	0	0
test example 1008:	 0.987	 0.013	0	0
test example 1009:	 0.792	 0.208	0	0
test example 1010:	 0.748	 0.252	0	1
test example 1011:	 0.967	 0.033	0	0
test example 1012:	 0.986	 0.014	0	0
test example 1013:	 0.974	 0.026	0	0
test example 1014:	 0.997	 0.003	0	0
test example 1015:	 0.902	 0.098	0	0
test example 1016:	 0.993	 0.007	0	0
test example 1017:	 0.986	 0.014	0	0
test example 1018:	 0.94 	 0.06 	0	0
test example 1019:	 0.991	 0.009	0	0
test example 1020:	 0.991	 0.009	0	0
test example 1021:	 0.995	 0.005	0	0
test example 1022:	 0.855	 0.145	0	0
test example 1023:	 0.993	 0.007	0	0
test example 1024:	 0.986	 0.014	0	0
test example 1025:	 0.997	 0.003	0	0
test example 1026:	 1    	 0    	0	0
test example 1027:	 0.998	 0.002	0	0
test example 1028:	 0.993	 0.007	0	0
test example 1029:	 0.877	 0.123	0	0
test example 1030:	 0.38 	 0.62 	1	1
test example 1031:	 0.641	 0.359	0	0
test example 1032:	 0.999	 0.001	0	0
test example 1033:	 0.993	 0.007	0	0
test example 1034:	 0.997	 0.003	0	0
test example 1035:	 0.898	 0.102	0	0
test example 1036:	 0.957	 0.043	0	0
test example 1037:	 0.99 	 0.01 	0	0
test example 1038:	 0.974	 0.026	0	0
test example 1039:	 0.98 	 0.02 	0	0
test example 1040:	 0.992	 0.008	0	0
test example 1041:	 0.448	 0.552	1	0
test example 1042:	 0.996	 0.004	0	0
test example 1043:	 0.977	 0.023	0	0
test example 1044:	 0.813	 0.187	0	0
test example 1045:	 0.978	 0.022	0	0
test example 1046:	 0.192	 0.808	1	0
test example 1047:	 0.103	 0.897	1	0
test example 1048:	 0.969	 0.031	0	0
test example 1049:	 0.989	 0.011	0	0
test example 1050:	 0.976	 0.024	0	1
test example 1051:	 0.989	 0.011	0	0
test example 1052:	 0.859	 0.141	0	1
test example 1053:	 0.993	 0.007	0	0
test example 1054:	 0.993	 0.007	0	0
test example 1055:	 0.993	 0.007	0	0
test example 1056:	 0.267	 0.733	1	1
test example 1057:	 0.874	 0.126	0	0
test example 1058:	 0.996	 0.004	0	0
test example 1059:	 0.993	 0.007	0	0
test example 1060:	 0.925	 0.075	0	0
test example 1061:	 0.99 	 0.01 	0	0
test example 1062:	 0.983	 0.017	0	0
test example 1063:	 0.997	 0.003	0	0
test example 1064:	 0.999	 0.001	0	0
test example 1065:	 0.99 	 0.01 	0	0
test example 1066:	 0.998	 0.002	0	0
test example 1067:	 0.987	 0.013	0	0
test example 1068:	 0.937	 0.063	0	0
test example 1069:	 0.989	 0.011	0	0
test example 1070:	 0.996	 0.004	0	0
test example 1071:	 0.879	 0.121	0	0
test example 1072:	 0.993	 0.007	0	0
test example 1073:	 0.903	 0.097	0	0
test example 1074:	 0.866	 0.134	0	0
test example 1075:	 0.679	 0.321	0	0
test example 1076:	 0.703	 0.297	0	1
test example 1077:	 0.989	 0.011	0	0
test example 1078:	 0.999	 0.001	0	0
test example 1079:	 0.976	 0.024	0	0
test example 1080:	 0.928	 0.072	0	0
test example 1081:	 0.997	 0.003	0	0
test example 1082:	 0.996	 0.004	0	0
test example 1083:	 0.97 	 0.03 	0	0
test example 1084:	 0.443	 0.557	1	0
test example 1085:	 0.995	 0.005	0	0
test example 1086:	 0.852	 0.148	0	0
test example 1087:	 0.989	 0.011	0	0
test example 1088:	 0.991	 0.009	0	0
test example 1089:	 0.614	 0.386	0	0
test example 1090:	 0.288	 0.712	1	0
test example 1091:	 0.908	 0.092	0	0
test example 1092:	 0.551	 0.449	0	1
test example 1093:	 0.98 	 0.02 	0	0
test example 1094:	 0.238	 0.762	1	0
test example 1095:	 0.992	 0.008	0	0
test example 1096:	 0.835	 0.165	0	0
test example 1097:	 0.994	 0.006	0	0
test example 1098:	 0.997	 0.003	0	0
test example 1099:	 0.799	 0.201	0	1
test example 1100:	 0.996	 0.004	0	0
test example 1101:	 0.994	 0.006	0	0
test example 1102:	 0.994	 0.006	0	0
test example 1103:	 0.898	 0.102	0	0
test example 1104:	 0.991	 0.009	0	0
test example 1105:	 0.87 	 0.13 	0	1
test example 1106:	 0.979	 0.021	0	0
test example 1107:	 0.95 	 0.05 	0	0
test example 1108:	 0.989	 0.011	0	0
test example 1109:	 0.997	 0.003	0	0
test example 1110:	 0.997	 0.003	0	0
test example 1111:	 0.999	 0.001	0	0
test example 1112:	 0.352	 0.648	1	1
test example 1113:	 0.996	 0.004	0	0
test example 1114:	 0.936	 0.064	0	0
test example 1115:	 0.097	 0.903	1	1
test example 1116:	 0.991	 0.009	0	0
test example 1117:	 0.995	 0.005	0	0
test example 1118:	 0.379	 0.621	1	0
test example 1119:	 0.985	 0.015	0	0
test example 1120:	 0.434	 0.566	1	0
test example 1121:	 0.99 	 0.01 	0	0
test example 1122:	 0.215	 0.785	1	1
test example 1123:	 0.434	 0.566	1	0
test example 1124:	 0.985	 0.015	0	0
test example 1125:	 0.997	 0.003	0	0
test example 1126:	 0.893	 0.107	0	1
test example 1127:	 0.995	 0.005	0	0
test example 1128:	 0.683	 0.317	0	1
test example 1129:	 0.996	 0.004	0	0
test example 1130:	 0.914	 0.086	0	0
test example 1131:	 0.924	 0.076	0	0
test example 1132:	 0.993	 0.007	0	0
test example 1133:	 0.993	 0.007	0	0
test example 1134:	 0.996	 0.004	0	0
test example 1135:	 0.993	 0.007	0	0
test example 1136:	 0.948	 0.052	0	0
test example 1137:	 0.911	 0.089	0	0
test example 1138:	 0.999	 0.001	0	0
test example 1139:	 0.618	 0.382	0	1
test example 1140:	 0.993	 0.007	0	0
test example 1141:	 0.596	 0.404	0	0
test example 1142:	 0.444	 0.556	1	0
test example 1143:	 0.539	 0.461	0	0
test example 1144:	 0.982	 0.018	0	0
test example 1145:	 0.999	 0.001	0	0
test example 1146:	 0.034	 0.966	1	0
test example 1147:	 0.549	 0.451	0	0
test example 1148:	 0.975	 0.025	0	0
test example 1149:	 0.983	 0.017	0	0
test example 1150:	 0.967	 0.033	0	0
test example 1151:	 0.99 	 0.01 	0	0
test example 1152:	 0.342	 0.658	1	1
test example 1153:	 0.988	 0.012	0	0
test example 1154:	 0.445	 0.555	1	1
test example 1155:	 0.062	 0.938	1	1
test example 1156:	 0.975	 0.025	0	1
test example 1157:	 0.616	 0.384	0	1
test example 1158:	 0.616	 0.384	0	0
test example 1159:	 0.996	 0.004	0	0
test example 1160:	 0.993	 0.007	0	0
test example 1161:	 0.991	 0.009	0	0
test example 1162:	 0.996	 0.004	0	0
test example 1163:	 0.987	 0.013	0	0
test example 1164:	 0.926	 0.074	0	0
test example 1165:	 0.726	 0.274	0	0
test example 1166:	 0.993	 0.007	0	0
test example 1167:	 0.991	 0.009	0	0
test example 1168:	 0.855	 0.145	0	0
test example 1169:	 0.939	 0.061	0	0
test example 1170:	 0.833	 0.167	0	0
test example 1171:	 0.963	 0.037	0	0
test example 1172:	 0.962	 0.038	0	0
test example 1173:	 0.546	 0.454	0	0
test example 1174:	 0.993	 0.007	0	0
test example 1175:	 0.998	 0.002	0	0
test example 1176:	 0.963	 0.037	0	0
test example 1177:	 1    	 0    	0	0
test example 1178:	 0.995	 0.005	0	0
test example 1179:	 0.989	 0.011	0	0
test example 1180:	 0.919	 0.081	0	1
test example 1181:	 0.68 	 0.32 	0	0
test example 1182:	 0.995	 0.005	0	0
test example 1183:	 0.399	 0.601	1	0
test example 1184:	 0.987	 0.013	0	0
test example 1185:	 0.997	 0.003	0	0
test example 1186:	 0.993	 0.007	0	0
test example 1187:	 0.991	 0.009	0	0
test example 1188:	 0.985	 0.015	0	0
test example 1189:	 0.703	 0.297	0	0
test example 1190:	 0.999	 0.001	0	0
test example 1191:	 0.993	 0.007	0	0
test example 1192:	 0.913	 0.087	0	0
test example 1193:	 0.908	 0.092	0	0
test example 1194:	 0.992	 0.008	0	0
test example 1195:	 0.994	 0.006	0	0
test example 1196:	 0.993	 0.007	0	0
test example 1197:	 0.954	 0.046	0	0
test example 1198:	 0.993	 0.007	0	0
test example 1199:	 0.901	 0.099	0	0
test example 1200:	 0.996	 0.004	0	0
test example 1201:	 0.982	 0.018	0	0
test example 1202:	 0.741	 0.259	0	0
test example 1203:	 0.997	 0.003	0	0
test example 1204:	 0.935	 0.065	0	0
test example 1205:	 0.985	 0.015	0	0
test example 1206:	 0.928	 0.072	0	0
test example 1207:	 0.958	 0.042	0	0
test example 1208:	 0.99 	 0.01 	0	0
test example 1209:	 0.6  	 0.4  	0	0
test example 1210:	 0.627	 0.373	0	0
test example 1211:	 0.994	 0.006	0	0
test example 1212:	 0.996	 0.004	0	0
test example 1213:	 0.996	 0.004	0	0
test example 1214:	 0.432	 0.568	1	0
test example 1215:	 0.991	 0.009	0	0
test example 1216:	 0.999	 0.001	0	0
test example 1217:	 0.995	 0.005	0	0
test example 1218:	 0.993	 0.007	0	0
test example 1219:	 0.62 	 0.38 	0	0
test example 1220:	 0.887	 0.113	0	0
test example 1221:	 0.252	 0.748	1	1
test example 1222:	 0.983	 0.017	0	0
test example 1223:	 0.971	 0.029	0	0
test example 1224:	 0.993	 0.007	0	0
test example 1225:	 0.991	 0.009	0	0
test example 1226:	 0.997	 0.003	0	0
test example 1227:	 0.851	 0.149	0	0
test example 1228:	 0.98 	 0.02 	0	0
test example 1229:	 0.917	 0.083	0	0
test example 1230:	 0.198	 0.802	1	1
test example 1231:	 0.995	 0.005	0	0
test example 1232:	 0.982	 0.018	0	0
test example 1233:	 0.988	 0.012	0	0
test example 1234:	 0.442	 0.558	1	1
test example 1235:	 0.872	 0.128	0	1
test example 1236:	 0.311	 0.689	1	1
test example 1237:	 0.994	 0.006	0	0
test example 1238:	 0.994	 0.006	0	0
test example 1239:	 0.437	 0.563	1	1
test example 1240:	 0.997	 0.003	0	0
test example 1241:	 0.995	 0.005	0	0
test example 1242:	 0.986	 0.014	0	0
test example 1243:	 0.983	 0.017	0	1
test example 1244:	 0.779	 0.221	0	0
test example 1245:	 0.985	 0.015	0	0
test example 1246:	 0.698	 0.302	0	0
test example 1247:	 0.972	 0.028	0	0
test example 1248:	 0.289	 0.711	1	1
test example 1249:	 1    	 0    	0	0
test example 1250:	 0.433	 0.567	1	0
test example 1251:	 0.994	 0.006	0	0
test example 1252:	 0.977	 0.023	0	0
test example 1253:	 0.991	 0.009	0	0
test example 1254:	 0.978	 0.022	0	0
test example 1255:	 0.995	 0.005	0	0
test example 1256:	 0.991	 0.009	0	0
test example 1257:	 0.992	 0.008	0	0
test example 1258:	 0.989	 0.011	0	0
test example 1259:	 0.05 	 0.95 	1	1
test example 1260:	 0.202	 0.798	1	0
test example 1261:	 0.995	 0.005	0	0
test example 1262:	 0.999	 0.001	0	0
test example 1263:	 0.997	 0.003	0	0
test example 1264:	 0.836	 0.164	0	0
test example 1265:	 0.996	 0.004	0	0
test example 1266:	 0.956	 0.044	0	0
test example 1267:	 0.365	 0.635	1	1
test example 1268:	 0.721	 0.279	0	1
test example 1269:	 0.995	 0.005	0	0
test example 1270:	 0.989	 0.011	0	1
test example 1271:	 0.988	 0.012	0	0
test example 1272:	 0.991	 0.009	0	0
test example 1273:	 0.987	 0.013	0	0
test example 1274:	 0.994	 0.006	0	0
test example 1275:	 0.994	 0.006	0	0
test example 1276:	 0.437	 0.563	1	1
test example 1277:	 0.512	 0.488	0	0
test example 1278:	 0.319	 0.681	1	1
test example 1279:	 0.987	 0.013	0	0
test example 1280:	 0.995	 0.005	0	0
test example 1281:	 0.969	 0.031	0	0
test example 1282:	 0.859	 0.141	0	0
test example 1283:	 0.99 	 0.01 	0	0
test example 1284:	 0.91 	 0.09 	0	0
test example 1285:	 0.989	 0.011	0	0
test example 1286:	 0.423	 0.577	1	1
test example 1287:	 0.987	 0.013	0	0
test example 1288:	 0.989	 0.011	0	0
test example 1289:	 0.889	 0.111	0	0
test example 1290:	 0.65 	 0.35 	0	1
test example 1291:	 0.758	 0.242	0	0
test example 1292:	 0.759	 0.241	0	0
test example 1293:	 0.351	 0.649	1	0
test example 1294:	 0.992	 0.008	0	0
test example 1295:	 0.996	 0.004	0	0
test example 1296:	 0.649	 0.351	0	0
test example 1297:	 0.95 	 0.05 	0	0
test example 1298:	 0.979	 0.021	0	0
test example 1299:	 0.998	 0.002	0	0
test example 1300:	 0.993	 0.007	0	0
test example 1301:	 0.998	 0.002	0	0
test example 1302:	 0.703	 0.297	0	0
test example 1303:	 0.991	 0.009	0	0
test example 1304:	 0.925	 0.075	0	0
test example 1305:	 0.21 	 0.79 	1	1
test example 1306:	 0.813	 0.187	0	0
test example 1307:	 0.999	 0.001	0	0
test example 1308:	 0.996	 0.004	0	0
test example 1309:	 0.883	 0.117	0	1
test example 1310:	 0.996	 0.004	0	0
test example 1311:	 0.147	 0.853	1	0
test example 1312:	 0.993	 0.007	0	0
test example 1313:	 0.98 	 0.02 	0	0
test example 1314:	 0.996	 0.004	0	0
test example 1315:	 0.992	 0.008	0	0
test example 1316:	 0.776	 0.224	0	0
test example 1317:	 0.991	 0.009	0	0
test example 1318:	 0.97 	 0.03 	0	0
test example 1319:	 0.996	 0.004	0	0
test example 1320:	 0.968	 0.032	0	1
test example 1321:	 0.858	 0.142	0	0
test example 1322:	 0.996	 0.004	0	0
test example 1323:	 0.947	 0.053	0	0
test example 1324:	 0.995	 0.005	0	0
test example 1325:	 0.992	 0.008	0	0
test example 1326:	 0.847	 0.153	0	0
test example 1327:	 0.974	 0.026	0	0
test example 1328:	 0.029	 0.971	1	1
test example 1329:	 0.515	 0.485	0	0
test example 1330:	 0.96 	 0.04 	0	0
test example 1331:	 0.973	 0.027	0	0
test example 1332:	 0.999	 0.001	0	0
test example 1333:	 0.987	 0.013	0	0
test example 1334:	 0.984	 0.016	0	0
